time,accx,accy,accz
2200,-360.00,8.00,56.00
2205,-466.00,212.00,-56.00
2210,-408.00,122.00,-304.00
2215,-306.00,216.00,6.00
2220,-152.00,234.00,-128.00
2225,-182.00,196.00,-6.00
2230,-284.00,20.00,16.00
2235,-242.00,154.00,86.00
2240,-312.00,298.00,18.00
2245,-252.00,198.00,36.00
2250,-170.00,306.00,162.00
2255,-240.00,392.00,-36.00
2260,-274.00,216.00,118.00
2265,-94.00,274.00,224.00
2270,-266.00,262.00,132.00
2275,-226.00,248.00,-34.00
2280,-180.00,296.00,76.00
2285,-214.00,324.00,0.00
2290,-204.00,312.00,32.00
2295,-64.00,236.00,24.00
2300,-168.00,378.00,46.00
2305,-236.00,232.00,108.00
2310,-200.00,210.00,88.00
2315,-292.00,284.00,-16.00
2320,-262.00,292.00,128.00
2325,-268.00,150.00,70.00
2330,-356.00,322.00,54.00
2335,-268.00,376.00,-48.00
2340,-162.00,400.00,168.00
2345,-220.00,328.00,26.00
2350,-156.00,300.00,16.00
2355,-176.00,308.00,-30.00
2360,-224.00,314.00,158.00
2365,-200.00,278.00,-90.00
2370,-114.00,230.00,82.00
2375,-128.00,112.00,28.00
2380,-56.00,36.00,140.00
2385,-86.00,158.00,68.00
2390,-128.00,178.00,76.00
2395,-156.00,200.00,50.00
2400,-242.00,146.00,148.00
2405,-112.00,202.00,56.00
2410,-136.00,62.00,68.00
2415,-48.00,82.00,0.00
2420,-316.00,-20.00,94.00
2425,-154.00,84.00,30.00
2430,-182.00,-20.00,-2.00
2435,-288.00,58.00,-8.00
2440,-196.00,70.00,96.00
2445,-284.00,140.00,94.00
2450,-228.00,60.00,-46.00
2455,-274.00,70.00,142.00
2460,-260.00,156.00,76.00
2465,-262.00,310.00,122.00
2470,-320.00,248.00,158.00
2475,-332.00,238.00,8.00
2480,-286.00,176.00,72.00
2485,-282.00,318.00,88.00
2490,-212.00,326.00,-10.00
2495,-204.00,262.00,32.00
2500,-234.00,300.00,42.00
2505,-84.00,464.00,42.00
2510,-90.00,356.00,66.00
2515,-80.00,418.00,-36.00
2520,-218.00,256.00,92.00
2525,-190.00,248.00,36.00
2530,-204.00,308.00,18.00
2535,-300.00,306.00,18.00
2540,-224.00,380.00,-6.00
2545,-232.00,350.00,-52.00
2550,-256.00,312.00,56.00
2555,-212.00,342.00,32.00
2560,-290.00,324.00,28.00
2565,-264.00,376.00,14.00
2570,-240.00,398.00,60.00
2575,-288.00,370.00,-38.00
2580,-252.00,306.00,92.00
2585,-332.00,316.00,18.00
2590,-314.00,352.00,18.00
2595,-376.00,352.00,30.00
2600,-334.00,422.00,54.00
2605,-312.00,398.00,88.00
2610,-242.00,296.00,112.00
2615,-144.00,278.00,42.00
2620,-248.00,256.00,82.00
2625,-238.00,258.00,104.00
2630,-172.00,218.00,74.00
2635,-350.00,50.00,410.00
2640,-252.00,526.00,-188.00
2645,-204.00,140.00,136.00
2650,-324.00,208.00,-40.00
2655,-244.00,294.00,30.00
2660,-160.00,198.00,46.00
2665,-202.00,174.00,138.00
2670,-218.00,172.00,40.00
2675,-210.00,124.00,108.00
2680,-186.00,36.00,44.00
2685,-186.00,154.00,64.00
2690,-226.00,136.00,108.00
2695,-138.00,176.00,50.00
2700,-224.00,218.00,36.00
2705,-232.00,222.00,0.00
2710,-220.00,210.00,102.00
2715,-272.00,206.00,154.00
2720,-194.00,192.00,146.00
2725,-212.00,148.00,30.00
2730,-226.00,280.00,-50.00
2735,-224.00,192.00,82.00
2740,-160.00,216.00,90.00
2745,-210.00,242.00,86.00
2750,-268.00,206.00,40.00
2755,-220.00,266.00,78.00
2760,-238.00,306.00,-4.00
2765,-194.00,314.00,30.00
2770,-230.00,266.00,4.00
2775,-274.00,242.00,36.00
2780,-224.00,286.00,38.00
2785,-252.00,218.00,112.00
2790,-226.00,304.00,30.00
2795,-222.00,274.00,40.00
2800,-260.00,200.00,40.00
2805,-194.00,220.00,0.00
2810,-204.00,260.00,54.00
2815,-176.00,190.00,24.00
2820,-216.00,186.00,52.00
2825,-204.00,234.00,30.00
2830,-210.00,214.00,-26.00
2835,-200.00,186.00,-62.00
2840,-212.00,248.00,66.00
2845,-206.00,220.00,108.00
2850,-232.00,200.00,56.00
2855,-206.00,230.00,-16.00
2860,-220.00,246.00,-16.00
2865,-248.00,218.00,96.00
2870,-232.00,220.00,14.00
2875,-262.00,280.00,24.00
2880,-204.00,206.00,40.00
2885,-256.00,236.00,52.00
2890,-222.00,264.00,4.00
2895,-230.00,290.00,76.00
2900,-202.00,204.00,76.00
2905,-228.00,214.00,58.00
2910,-194.00,124.00,-4.00
2915,-212.00,144.00,52.00
2920,-160.00,166.00,72.00
2925,-170.00,214.00,-34.00
2930,-230.00,200.00,64.00
2935,-248.00,178.00,20.00
2940,-234.00,268.00,26.00
2945,-268.00,274.00,36.00
2950,-244.00,330.00,42.00
2955,-256.00,288.00,34.00
2960,-202.00,374.00,-22.00
2965,-258.00,280.00,62.00
2970,-256.00,294.00,102.00
2975,-246.00,410.00,60.00
2980,-250.00,298.00,0.00
2985,-184.00,304.00,40.00
2990,-230.00,254.00,52.00
2995,-164.00,170.00,82.00
3000,-162.00,152.00,86.00
3005,-154.00,130.00,44.00
